preferred_entry_date_1,preferred_zone_1,preferred_entry_date_2,preferred_zone_2,preferred_entry_date_3,preferred_zone_3,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size
09-05-2020,Snow Zone,09-05-2020,Colchuck Zone,09-11-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-05-2020,Snow Zone,09-20-2020,Stuart  Zone,10-03-2020,Core Enchantment Zone,Awarded,1,07-05-2020,Snow Zone,4
08-12-2020,Snow Zone,08-12-2020,Colchuck Zone,08-12-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-19-2020,Core Enchantment Zone,06-19-2020,Eightmile/Caroline Zone,07-26-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-05-2020,Colchuck Zone,08-19-2020,Colchuck Zone,09-28-2020,Snow Zone,Awarded,3,09-28-2020,Snow Zone,6
08-14-2020,Core Enchantment Zone,07-17-2020,Core Enchantment Zone,07-18-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-20-2020,Core Enchantment Zone,08-27-2020,Core Enchantment Zone,09-03-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-09-2020,Core Enchantment Zone,08-26-2020,Core Enchantment Zone,09-02-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-20-2020,Core Enchantment Zone,07-27-2020,Core Enchantment Zone,08-03-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-29-2020,Core Enchantment Zone,07-21-2020,Core Enchantment Zone,07-20-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-04-2020,Core Enchantment Zone,09-11-2020,Core Enchantment Zone,09-18-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
08-03-2020,Core Enchantment Zone,08-04-2020,Core Enchantment Zone,08-05-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-28-2020,Core Enchantment Zone,07-29-2020,Core Enchantment Zone,07-30-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-02-2020,Core Enchantment Zone,06-26-2020,Core Enchantment Zone,10-01-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
07-04-2020,Core Enchantment Zone,07-30-2020,Core Enchantment Zone,08-06-2020,Core Enchantment Zone,Awarded,1,07-04-2020,Core Enchantment Zone,8
08-31-2020,Core Enchantment Zone,09-08-2020,Colchuck Zone,09-30-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
06-05-2020,Core Enchantment Zone,05-22-2020,Core Enchantment Zone,06-12-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-03-2020,Core Enchantment Zone,09-02-2020,Colchuck Zone,09-09-2020,Snow Zone,Unsuccessful,0,01-01-1970,N/A,0
06-29-2020,Colchuck Zone,06-30-2020,Colchuck Zone,09-11-2020,Colchuck Zone,Unsuccessful,0,01-01-1970,N/A,0
10-01-2020,Stuart  Zone,07-22-2020,Core Enchantment Zone,09-23-2020,Snow Zone,Unsuccessful,0,01-01-1970,N/A,0
08-07-2020,Core Enchantment Zone,08-21-2020,Colchuck Zone,08-28-2020,Stuart  Zone,Unsuccessful,0,01-01-1970,N/A,0
07-11-2020,Core Enchantment Zone,07-18-2020,Core Enchantment Zone,07-12-2020,Core Enchantment Zone,Unsuccessful,0,01-01-1970,N/A,0
09-01-2020,Core Enchantment Zone,09-15-2020,Colchuck Zone,08-13-2020,Snow Zone,Unsuccessful,0,01-01-1970,N/A,0
