preferred_zone,preferred_entry_date,minimum_acceptable_group_size,results_status,awarded_preference,awarded_entry_date,awarded_entrance_code_name,awarded_group_size,processing_sequence,state,year,awarded,preferred_option,preferred_entry_date_month,preferred_entry_date_day
Core Enchantment Zone,06-29-2020,0.0,Awarded,3,06-29-2020,Eightmile/Caroline Zone,4,,,2020,False,1,June,Monday
Core Enchantment Zone,08-11-2020,0.0,Awarded,3,08-05-2020,Snow Zone,2,,,2020,False,1,August,Tuesday
Core Enchantment Zone,06-09-2020,0.0,Awarded,2,06-16-2020,Eightmile/Caroline Zone,8,,,2020,False,1,June,Tuesday
Core Enchantment Zone,05-21-2020,0.0,Awarded,3,05-21-2020,Snow Zone,4,,,2020,False,1,May,Thursday
Core Enchantment Zone,09-29-2020,0.0,Awarded,3,09-30-2020,Core Enchantment Zone,2,,,2020,False,1,September,Tuesday
Core Enchantment Zone,06-08-2020,0.0,Awarded,2,06-08-2020,Snow Zone,6,,,2020,False,1,June,Monday
Core Enchantment Zone,10-10-2020,0.0,Awarded,3,10-11-2020,Core Enchantment Zone,8,,,2020,False,1,October,Saturday
Colchuck Zone,09-14-2020,0.0,Awarded,2,09-07-2020,Snow Zone,4,,,2020,False,1,September,Monday
Core Enchantment Zone,08-14-2020,0.0,Awarded,3,05-17-2020,Core Enchantment Zone,4,,,2020,False,1,August,Friday
Core Enchantment Zone,08-29-2020,0.0,Awarded,2,10-24-2020,Eightmile/Caroline Zone,4,,,2020,False,1,August,Saturday
Colchuck Zone,08-18-2020,0.0,Awarded,3,08-19-2020,Snow Zone,2,,,2020,False,1,August,Tuesday
Stuart  Zone,09-03-2020,0.0,Awarded,2,09-03-2020,Snow Zone,4,,,2020,False,1,September,Thursday
Core Enchantment Zone,07-26-2020,0.0,Awarded,2,07-26-2020,Colchuck Zone,2,,,2020,False,1,July,Sunday
Core Enchantment Zone,06-11-2020,0.0,Awarded,2,06-12-2020,Core Enchantment Zone,4,,,2020,False,1,June,Thursday
Colchuck Zone,06-25-2020,0.0,Awarded,2,06-04-2020,Colchuck Zone,8,,,2020,False,1,June,Thursday
Core Enchantment Zone,07-24-2020,0.0,Awarded,3,07-23-2020,Stuart  Zone,2,,,2020,False,1,July,Friday
Core Enchantment Zone,08-18-2020,0.0,Awarded,2,08-19-2020,Core Enchantment Zone,8,,,2020,False,1,August,Tuesday
Stuart  Zone,07-25-2020,0.0,Awarded,2,06-12-2020,Stuart  Zone,2,,,2020,False,1,July,Saturday
Core Enchantment Zone,09-24-2020,0.0,Awarded,2,09-24-2020,Colchuck Zone,8,,,2020,False,1,September,Thursday
Core Enchantment Zone,08-15-2020,0.0,Awarded,2,08-23-2020,Snow Zone,8,,,2020,False,1,August,Saturday
Core Enchantment Zone,09-07-2020,0.0,Awarded,3,07-08-2020,Eightmile/Caroline Zone,6,,,2020,False,1,September,Monday
Core Enchantment Zone,09-17-2020,0.0,Awarded,3,09-17-2020,Stuart  Zone,3,,,2020,False,1,September,Thursday
Core Enchantment Zone,07-01-2020,0.0,Awarded,2,07-01-2020,Stuart  Zone,8,,,2020,False,1,July,Wednesday
Core Enchantment Zone,07-30-2020,0.0,Awarded,3,07-28-2020,Snow Zone,8,,,2020,False,1,July,Thursday
Core Enchantment Zone,08-17-2020,0.0,Awarded,3,05-26-2020,Core Enchantment Zone,6,,,2020,False,1,August,Monday
Core Enchantment Zone,09-30-2020,0.0,Awarded,3,10-14-2020,Snow Zone,8,,,2020,False,1,September,Wednesday
Colchuck Zone,06-12-2020,0.0,Awarded,3,06-18-2020,Snow Zone,5,,,2020,False,1,June,Friday
Colchuck Zone,07-27-2020,0.0,Awarded,2,08-03-2020,Snow Zone,8,,,2020,False,1,July,Monday
Eightmile/Caroline Zone,08-31-2020,0.0,Awarded,3,09-28-2020,Eightmile/Caroline Zone,2,,,2020,False,1,August,Monday
Core Enchantment Zone,08-29-2020,0.0,Awarded,2,09-26-2020,Core Enchantment Zone,2,,,2020,False,1,August,Saturday
Snow Zone,09-25-2020,0.0,Awarded,3,10-09-2020,Snow Zone,8,,,2020,False,1,September,Friday
Core Enchantment Zone,09-10-2020,0.0,Awarded,2,10-08-2020,Colchuck Zone,6,,,2020,False,1,September,Thursday
Core Enchantment Zone,08-13-2020,0.0,Awarded,2,06-17-2020,Snow Zone,4,,,2020,False,1,August,Thursday
Core Enchantment Zone,09-05-2020,0.0,Awarded,3,07-11-2020,Core Enchantment Zone,2,,,2020,False,1,September,Saturday
Core Enchantment Zone,08-15-2020,0.0,Awarded,2,08-16-2020,Core Enchantment Zone,5,,,2020,False,1,August,Saturday
Core Enchantment Zone,08-15-2020,0.0,Awarded,2,08-08-2020,Colchuck Zone,4,,,2020,False,1,August,Saturday
Stuart  Zone,09-17-2020,0.0,Awarded,3,09-24-2020,Eightmile/Caroline Zone,4,,,2020,False,1,September,Thursday
