Maximum Requested Group Size 1,Preferred Entry Date 2,Preferred Division 2,Minimum Acceptable Group Size 2,Maximum Requested Group Size 2,Preferred Entry Date 3,Preferred Division 3,Minimum Acceptable Group Size 3,Maximum Requested Group Size 3,Results Status,Awarded Preference,Awarded Entrance Code/Name,Awarded Group Size,State
5,7/21/2023,Core Enchantment Zone,5,5,7/20/2023,Stuart  Zone,5,5,Unsuccessful,,,,WA
4,6/26/2023,Core Enchantment Zone,4,4,7/1/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
3,9/11/2023,Colchuck Zone,3,3,8/7/2023,Snow Zone,3,3,Unsuccessful,,,,MO
6,6/17/2023,Stuart  Zone,6,6,7/15/2023,Colchuck Zone,6,6,Unsuccessful,,,,WA
4,8/5/2023,Core Enchantment Zone,2,2,9/8/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
5,9/6/2023,Core Enchantment Zone,6,6,9/7/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,WA
8,8/8/2023,Core Enchantment Zone,8,8,8/21/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
4,7/28/2023,Core Enchantment Zone,4,4,8/4/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,WA
4,8/2/2023,Core Enchantment Zone,4,4,7/19/2023,Core Enchantment Zone,4,4,Unsuccessful,,,,CA
6,9/14/2023,Core Enchantment Zone,6,6,9/12/2023,Core Enchantment Zone,6,6,Unsuccessful,,,,MI
5,6/26/2023,Colchuck Zone,5,5,9/20/2023,Core Enchantment Zone,5,5,Unsuccessful,,,,OR
2,6/30/2023,Colchuck Zone,2,2,8/17/2023,Stuart  Zone,2,2,Unsuccessful,,,,OR
8,7/5/2023,Stuart  Zone,8,8,10/5/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,9/5/2023,Core Enchantment Zone,8,8,8/21/2023,Colchuck Zone,8,8,Awarded,1,Snow Zone,8,WA
2,9/17/2023,Core Enchantment Zone,2,2,8/27/2023,Core Enchantment Zone,2,2,Unsuccessful,,,,WA
8,8/22/2023,Core Enchantment Zone,8,8,8/23/2023,Core Enchantment Zone,8,8,Unsuccessful,,,,WA
8,7/29/2023,Core Enchantment Zone,8,8,8/4/2023,Snow Zone,8,8,Unsuccessful,,,,WA
