Permit Type,Preferred Entry Date 1,Preferred Zone 1,Preferred Entry Date 2,Preferred Zone 2,Preferred Entry Date 3,Preferred Zone 3,Results Status,Awarded Preference,Awarded Entry Date,Awarded Entrance Code/Name,Awarded Group Size
Overnight Permit,8/20/2020,Core Enchantment Zone,9/11/2020,Core Enchantment Zone,8/12/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,8/12/2020,Core Enchantment Zone,8/19/2020,Core Enchantment Zone,8/26/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,9/4/2020,Core Enchantment Zone,9/11/2020,Core Enchantment Zone,9/18/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/20/2020,Core Enchantment Zone,,,,,Unsuccessful,,,,
Overnight Permit,9/21/2020,Snow Zone,6/11/2020,Colchuck Zone,5/29/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,7/24/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,6/13/2020,Core Enchantment Zone,6/20/2020,Core Enchantment Zone,9/19/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,6/23/2020,Core Enchantment Zone,6/24/2020,Core Enchantment Zone,6/25/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/16/2020,Colchuck Zone,7/23/2020,Stuart  Zone,7/30/2020,Snow Zone,Unsuccessful,,,,
Overnight Permit,6/19/2020,Stuart  Zone,9/4/2020,Stuart  Zone,9/18/2020,Stuart  Zone,Unsuccessful,,,,
Overnight Permit,8/22/2020,Colchuck Zone,8/15/2020,Colchuck Zone,9/5/2020,Core Enchantment Zone,Unsuccessful,,,,
Overnight Permit,7/22/2020,Core Enchantment Zone,7/22/2020,Colchuck Zone,7/29/2020,Core Enchantment Zone,Unsuccessful,,,,
